INTERSECTION,CAMERA_INSTALL_YEAR,LATITUDE,LONGITUDE,X,Y,CAMERA_FACING,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL_VIOLATIONS,HIGHEST_MONTHLY_TOTAL,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,FID,ObjectId
DUFORD / PLACE D'ORLEANS @ ST JOSEPH,2010,45.47762664,-75.51259116,381996.7441,5037996.587,Westbound,40,0,45,86,81,90,91,96,79,47,37,41,733,96,,,,,,,,,,,,17,17
BERRIGAN @ WESSEX / GREENBANK,2010,45.2749753,-75.74900599,363723.6849,5015276.436,Southbound,0,40,0,0,0,0,0,0,0,0,0,0,40,40,,,,,,,,,,,,18,18
HOLLAND & ISLAND PARK @ NCC DRIVEWAY,2010,45.38857382,-75.72576713,365425.7,5027917.547,Southbound,33,27,45,36,39,43,33,39,29,25,35,39,423,45,,,,,,,,,,,,19,19
CONROY @ LORRY GREENBERG ,2010,45.36947236,-75.62207744,373568.186,5025878.183,Southbound,15,14,15,10,13,11,17,14,10,15,26,15,175,26,,,,,,,,,,,,20,20
AVIATION PARKWAY @ OGILVIE ,2010,45.42798671,-75.62701694,373110.723,5032376.576,Westbound,11,7,6,22,26,15,18,21,16,16,8,12,178,26,,,,,,,,,,,,21,21
ELGIN / PRETORIA BRIDGE @ QUEEN ELIZABETH,2010,45.41131111,-75.68406267,368665.7101,5030476.567,Eastbound,95,98,89,90,134,136,228,179,124,117,61,86,1437,228,,,,,,,,,,,,22,22
FISHER @ MEADOWLANDS,2010,45.36263085,-75.71144959,366575.0649,5025045.446,Southbound,66,44,56,39,56,64,80,67,55,58,44,68,697,80,,,,,,,,,,,,23,23
SAUNDERSON @ SMYTH,2011,45.40054791,-75.63148873,372793.729,5029323.552,Eastbound,15,32,49,55,70,54,30,27,33,29,20,15,429,70,,,,,,,,,,,,24,24
BLAIR @ REGIONAL RD 174 W.,2011,45.43336965,-75.60745592,374634.7279,5032991.577,Eastbound,30,35,48,67,105,67,56,71,59,48,41,32,659,105,,,,,,,,,,,,26,25
ALBERT @ KENT,2001,45.41902653,-75.70240246,367221.703,5031319.576,Northbound,27,18,21,37,55,43,69,34,32,36,22,31,425,69,,,,,,,,,,,,27,26
KING EDWARD @ ST. ANDREW ,2012,45.43379539,-75.68991198,368182.703,5032970.591,Northbound,233,196,169,167,84,290,392,452,494,389,401,191,3458,494,,,,,,,,,,,,28,27
MERIVALE @ MEADOWLANDS,2001,45.35090342,-75.73351715,364858.6981,5023725.511,Northbound,55,38,55,50,61,41,55,45,56,44,43,32,575,61,,,,,,,,,,,,29,28
HERON @ RIVERSIDE ,2001,45.37677184,-75.69148988,368122.926,5026632.41,Eastbound,34,43,44,58,103,80,129,90,85,91,39,40,836,129,,,,,,,,,,,,30,29
CARLING @ RICHMOND,2001,45.36078523,-75.79226646,360245.6751,5024781.518,Westbound,52,47,72,72,82,112,125,88,58,57,63,65,893,125,,,,,,,,,,,,31,30
BRONSON @ CARLING / GLEBE,2001,45.40100097,-75.69965431,367456.7071,5029318.558,Southbound,26,18,12,2,37,43,21,42,57,53,69,64,444,69,,,,,,,,,,,,32,31
COVENTRY / OGILVIE @ ST. LAURENT ,2001,45.4242409,-75.63736161,372305.7211,5031951.574,Northbound,33,28,38,32,59,37,46,49,54,41,39,44,500,59,,,,,,,,,,,,33,32
HAZELDEAN / ROBERTSON @ EAGLESON,2001,45.30407235,-75.87677745,353673.6249,5018424.46,Southbound,31,34,25,29,39,35,38,32,36,27,35,22,383,39,,,,,,,,,,,,34,33
BERRIGAN @ WESSEX / GREENBANK,2016,45.2749753,-75.74900599,363723.6849,5015276.436,Northbound,103,93,62,77,126,74,93,74,86,83,81,65,1017,126,,,,,,,,,,,,35,34
ST. JOSEPH @ OLD TENTH LINE ,2018,45.48460028,-75.49810341,383119.7471,5038785.587,Eastbound,41,34,41,55,43,52,64,44,42,40,35,20,511,64,,,,,,,,,,,,36,35
CATHERINE @ KENT,2017,45.40878852,-75.69378269,367907.7071,5030188.565,Northbound,51,0,0,90,143,124,146,125,68,11,13,30,801,146,,,,,,,,,,,,37,36
BANK @ RIVERSIDE S. ,2017,45.38802034,-75.67623737,369304.7159,5027894.545,Northbound,48,53,59,72,97,21,0,0,0,0,0,0,350,97,,,,,,,,,,,,38,37
KIRKWOOD @ COLDREY,2017,45.38163119,-75.73846511,364438.6959,5027136.54,Northbound,0,0,0,0,0,0,0,0,0,0,0,37,37,37,,,,,,,,,,,,39,38
GLADSTONE @ ROCHESTER,2017,45.40529157,-75.70973672,366662.703,5029787.563,Westbound,0,0,0,0,0,0,0,0,0,0,35,32,67,35,,,,,,,,,,,,40,39
BAY @ SLATER,2018,45.41687927,-75.70547366,366983.7019,5031078.574,Eastbound,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,41,40
BRONSON @ POWELL,2017,45.40243467,-75.70051327,367387.8789,5029477.214,Southbound,26,24,32,32,47,24,8,39,79,80,65,68,524,80,,,,,,,,,,,,42,41
ELGIN @ SLATER,2018,45.42190879,-75.69381322,367890.7049,5031646.579,Eastbound,20,50,43,37,56,54,58,51,42,59,33,20,523,59,,,,,,,,,,,,43,42
KENT @ ARLINGTON,2018,45.40941288,-75.69427205,367868.7071,5030257.566,Northbound,71,97,124,124,192,170,338,142,92,69,66,64,1549,338,,,,,,,,,,,,44,43
AVIATION PARKWAY @ MONTREAL,2017,45.44366406,-75.63909822,372146.7151,5034108.594,Eastbound,31,15,47,36,60,24,44,51,58,33,38,24,461,60,,,,,,,,,,,,45,44
PRINCE OF WALES @ HOGS BACK / MEADOWLANDS,2017,45.36839102,-75.70119678,367371.9189,5025693.477,Northbound,3,6,4,0,0,0,0,11,38,30,34,26,152,38,,,,,,,,,,,,46,45
MURRAY @ SUSSEX,2018,45.4286548,-75.69605817,367707.526,5032394.497,Northbound,28,25,49,55,69,66,76,57,38,38,59,43,603,76,,,,,,,,,,,,47,46
FALLOWFIELD @ CEDARVIEW,2017,45.27866592,-75.7799176,361294.6699,5015664.437,Westbound,26,23,23,18,35,26,36,18,10,13,16,9,253,36,,,,,,,,,,,,48,47
INNES @ ORLEANS,2017,45.44450342,-75.53280378,380460.7951,5034296.403,Southbound,6,11,18,21,16,10,4,20,7,11,12,15,151,21,,,,,,,,,,,,49,48
WALKLEY @ GLENHAVEN / ANAND,2017,45.36973398,-75.66494736,370209.861,5025871.531,Eastbound,48,53,66,76,74,64,82,75,76,71,54,55,794,82,,,,,,,,,,,,50,49
ST. JOSEPH @ TENTH LINE ,2018,45.48355406,-75.50105058,382890.809,5038666.453,Eastbound,15,17,11,24,24,17,18,29,22,18,14,11,220,29,,,,,,,,,,,,51,50
HERON @ 155m W OF BANK ,2017,45.3784036,-75.66945865,369846.5513,5026831.311,Eastbound,39,61,92,115,132,136,94,111,99,76,52,51,1058,136,,,,,,,,,,,,52,51
TENTH LINE @ VANGUARD,2017,45.45833915,-75.48637951,384073.031,5035878.694,Northbound,44,51,48,40,43,39,34,56,54,50,54,41,554,56,,,,,,,,,,,,53,52
HAWTHORNE @ LEITRIM ,2017,45.34061302,-75.57823933,377038.7589,5022709.501,Northbound,5,7,1,7,5,5,10,10,4,9,4,3,70,10,,,,,,,,,,,,54,53
LYON @ SLATER,2018,45.417535,-75.703944,367102.703,5031152.575,Southbound,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,55,54
WALKLEY @ RYDER / DON RIED,2020,45.3822204,-75.63422114,372601.7269,5027284.544,Westbound,125,156,126,159,239,209,216,209,175,122,78,62,1876,239,,,,,,,,,,,,56,55
BANK @ HUNT CLUB,2020,45.35363104,-75.64733066,371608.731,5024096.514,Northbound,7,13,11,17,22,22,17,9,19,17,19,18,191,22,,,,,,,,,,,,57,56
O'CONNOR ST @ HWY 417 WB ON RAMP / CATHERINE,2020,45.41059366,-75.68946433,368243.711,5030392.564,Southbound,15,13,29,18,43,27,56,52,55,32,25,26,391,56,,,,,,,,,,,,58,57
CARLING @ IROQUOIS,2020,45.37182033,-75.76700336,362213.686,5026025.53,Eastbound,68,45,74,93,143,117,133,111,117,56,49,21,1027,143,,,,,,,,,,,,59,58
KING EDWARD @ BESSERER,2020,45.42809335,-75.68529062,368550.7052,5032340.582,Northbound,101,135,141,153,182,164,173,136,128,111,114,114,1652,182,,,,,,,,,,,,60,59
RUSSELL @ ST-LAURENT,2020,45.39990521,-75.62158646,373569.7331,5029260.545,Southbound,188,177,189,221,179,87,110,105,107,86,77,75,1601,221,,,,,,,,,,,,61,60
MONTREAL @ BRITTANY,2021,45.44266084,-75.64210469,371912.714,5033994.593,Westbound,26,28,40,55,73,69,78,83,83,56,43,36,670,83,,,,,,,,,,,,62,61
HUNT CLUB @ DOWNPARTICK /MCCARTY,2021,45.34747262,-75.66147357,370507.726,5023400.509,Eastbound,98,111,112,131,116,0,65,186,184,140,103,93,1339,186,,,,,,,,,,,,63,62
HERON @ JEFFERSON,2021,45.38020918,-75.6443775,371808.7279,5027052.536,Westbound,62,67,72,90,142,130,118,104,82,79,56,44,1046,142,,,,,,,,,,,,64,63
MARCH @ CARP,2021,45.33454599,-76.02328249,342164.5471,5021732.505,Eastbound,9,13,18,10,23,14,17,14,17,24,18,8,185,24,,,,,,,,,,,,65,64
JEANNE D'ARC @ CHAMPLAIN,2021,45.48423559,-75.52036864,381379.7381,5038723.597,Eastbound,11,13,15,19,30,21,31,33,34,36,14,22,279,36,,,,,,,,,,,,66,65
EAGLESON @ COPE,2021,45.28243692,-75.86494308,354620.626,5016027.438,Southbound,47,46,64,46,47,61,39,26,37,36,22,39,510,64,,,,,,,,,,,,67,66
CARLING @ ISLAND PARK,2021,45.38930031,-75.72674059,365348.6989,5027997.548,Westbound,50,41,49,40,47,9,72,53,36,51,40,38,526,72,,,,,,,,,,,,68,67
JOCKVALE @ STRANDHERD,2011,45.26870306,-75.75116853,363560.4819,5014577.85,Eastbound,25,0,31,49,61,37,59,6,52,45,30,21,416,61,,,,,,,,,,,,25,68
ALBION @ RIDEAU,2022,45.28650966,-75.60392333,375092.7522,5016674.46,Southbound,17,13,31,26,36,48,47,55,43,49,46,49,460,55,,,,,,,,,,,,69,69
BANK @ RIVERSIDE N,2022,45.38882841,-75.67723452,369225.7159,5027983.546,Northbound,12,24,16,26,33,3,0,0,0,0,0,0,114,33,,,,,,,,,,,,70,70
HUNT CLUB @ CAHILL,2022,45.35756736,-75.63707326,372407.7347,5024542.509,Westbound,63,57,75,76,91,113,101,64,74,48,46,56,864,113,,,,,,,,,,,,71,71
CARLING @ MERIVALE,2022,45.38666703,-75.73257414,364894.7038,5027700.544,Westbound,15,16,20,26,39,24,39,28,46,35,28,16,332,46,,,,,,,,,,,,72,72
CARLING @ 195M W OF IROQUOIS,2022,45.37087356,-75.76881154,362073.0121,5025919.029,Westbound,10,11,15,12,29,24,35,33,38,28,18,14,267,38,,,,,,,,,,,,73,73
CARLING @ FAIRLAWN,2022,45.37008858,-75.77058769,361934.679,5025830.534,Eastbound,27,33,46,60,64,48,67,37,59,50,30,21,542,67,,,,,,,,,,,,74,74
CARP @ RICHARDSON SIDE,2022,45.29317806,-75.97205827,346209.5557,5017160.457,Southbound,20,14,10,2,24,27,9,22,35,25,17,21,226,35,,,,,,,,,,,,75,75
CONROY @ JOHNSTON,2022,45.37336061,-75.62420532,373396.8071,5026308.46,Northbound,34,41,29,42,35,28,41,31,41,37,38,30,427,42,,,,,,,,,,,,76,76
CONROY @ LORRY GREENBERG,2022,45.36947236,-75.62207744,373568.186,5025878.183,Northbound,28,28,30,20,29,23,40,43,39,39,29,17,365,43,,,,,,,,,,,,77,77
SMYTH @ HAIG,2022,45.40034514,-75.63441699,372564.7249,5029298.548,Eastbound,7,16,20,23,45,33,42,34,32,34,22,25,333,45,,,,,,,,,,,,78,78
CARLING @ HOLLY ACRES,2022,45.34938793,-75.81807293,358234.6563,5023497.518,Eastbound,94,80,111,116,162,146,162,149,163,126,102,63,1474,163,,,,,,,,,,,,79,79
JEANNE D'ARC @ VINEYARDS /FORTUNE,2022,45.47233893,-75.54795751,379238.7286,5037375.598,Northbound,19,19,14,19,36,32,37,32,33,28,28,15,312,37,,,,,,,,,,,,80,80
TERRY FOX @ 135M S OF HAZELDEAN,2022,45.29260541,-75.89451488,352292.2135,5017139.577,Northbound,61,51,67,90,100,78,82,72,85,73,66,40,865,100,,,,,,,,,,,,81,81
VANIER PARKWAY @ PRESLAND,2022,45.42262016,-75.6613151,370433.1219,5031751.637,Southbound,109,87,88,118,255,333,406,292,221,171,122,86,2288,406,,,,,,,,,,,,82,82
ELGIN ST @ SLATER ST,2022,45.42190879,-75.69381322,367890.7049,5031646.579,Southbound,0,27,39,54,57,66,93,78,51,41,33,21,560,93,,,,,,,,,,,,83,83
WELLINGTON ST @ BAY ST,2022,45.41935066,-75.70759843,366814.7011,5031351.577,Southbound,177,108,93,31,312,348,340,354,349,293,252,221,2878,354,,,,,,,,,,,,84,84
NAVAN @ RENAUD,2022,45.43032102,-75.51571663,381816.7611,5032736.549,Southbound,5,2,4,2,9,5,3,10,8,5,1,5,59,10,,,,,,,,,,,,85,85
