INTERSECTION,CAMERA_INSTALL_YEAR,LATITUDE,LONGITUDE,X,Y,CAMERA_FACING,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL_VIOLATIONS,HIGHEST_MONTHLY_TOTAL,ObjectId
CYRVILLE @ INNES,2010,45.41648492,-75.60244499,375047.734,5031119.561,Westbound,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,8,8,8,16
DUFORD / PLACE D'ORLEANS @ ST JOSEPH,2010,45.47762664,-75.51259116,381996.7441,5037996.587,Westbound,43,32,40,54,83,104,88,58,66,53,25,42,688,104,17
BERRIGAN @ WESSEX / GREENBANK,2010,45.2749753,-75.74900599,363723.6849,5015276.436,Southbound,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,0,0,18
HOLLAND & ISLAND PARK @ NCC DRIVEWAY,2010,45.38857382,-75.72576713,365425.7,5027917.547,Southbound,26,29,15,30,28,27,16,27,30,26,9,27,290,30,19
CONROY @ LORRY GREENBERG ,2010,45.36947236,-75.62207744,373568.186,5025878.183,Southbound,13,8,11,11,0,0,0,N/A,N/A,N/A,N/A,23,66,23,20
AVIATION PARKWAY @ OGILVIE ,2010,45.42798671,-75.62701694,373110.723,5032376.576,Westbound,11,19,8,17,19,15,14,6,17,8,5,12,151,19,21
HAWTHORNE AVE/ISABELLA ST @ QUEEN ELIZABETH DRWY,2010,45.41131111,-75.68406267,368665.7101,5030476.567,Eastbound,86,87,96,100,102,105,137,123,106,94,15,41,1092,137,22
FISHER @ MEADOWLANDS,2010,45.36263085,-75.71144959,366575.0649,5025045.446,Southbound,52,46,45,34,72,79,53,55,63,56,8,56,619,79,23
SAUNDERSON @ SMYTH,2011,45.40054791,-75.63148873,372793.729,5029323.552,Eastbound,21,22,28,29,26,21,24,23,37,21,0,17,269,37,24
JOCKVALE @ STRANDHERD,2011,45.26870306,-75.75116853,363560.4819,5014577.85,Eastbound,24,24,52,38,64,70,67,94,N/A,61,16,12,522,94,25
BLAIR @ REGIONAL RD 174 W.,2011,45.43336965,-75.60745592,374634.7279,5032991.577,Eastbound,35,42,53,66,70,63,80,55,55,34,5,32,590,80,26
ALBERT @ KENT,2001,45.41902653,-75.70240246,367221.703,5031319.576,Northbound,25,30,35,33,35,49,60,60,41,26,5,28,427,60,27
KING EDWARD @ ST. ANDREW ,2012,45.43379539,-75.68991198,368182.703,5032970.591,Northbound,112,127,163,130,154,147,192,168,182,215,27,90,1707,215,28
MERIVALE @ MEADOWLANDS,2001,45.35090342,-75.73351715,364858.6981,5023725.511,Northbound,27,41,43,36,31,29,43,42,44,45,12,40,433,45,29
HERON @ RIVERSIDE ,2001,45.37677184,-75.69148988,368122.926,5026632.41,Eastbound,35,31,34,64,56,52,69,79,78,70,19,49,636,79,30
CARLING @ RICHMOND,2001,45.36078523,-75.79226646,360245.6751,5024781.518,Westbound,37,35,51,77,72,16,6,1,20,60,9,50,434,77,31
BRONSON @ CARLING / GLEBE,2001,45.40100097,-75.69965431,367456.7071,5029318.558,Southbound,29,25,42,45,50,95,107,29,33,20,0,15,490,107,32
COVENTRY / OGILVIE @ ST. LAURENT ,2001,45.4242409,-75.63736161,372305.7211,5031951.574,Northbound,28,27,53,45,37,49,41,39,55,42,20,54,490,55,33
HAZELDEAN / ROBERTSON @ EAGLESON,2001,45.30407235,-75.87677745,353673.6249,5018424.46,Southbound,23,23,26,27,31,33,31,27,33,37,3,30,324,37,34
BERRIGAN @ WESSEX / GREENBANK,2016,45.2749753,-75.74900599,363723.6849,5015276.436,Northbound,66,78,71,64,90,74,79,89,84,83,22,91,891,91,35
ST. JOSEPH @ OLD TENTH LINE ,2018,45.48460028,-75.49810341,383119.7471,5038785.587,Eastbound,26,40,25,51,59,84,26,13,96,31,11,27,489,96,36
CATHERINE @ KENT,2017,45.40878852,-75.69378269,367907.7071,5030188.565,Northbound,41,71,67,69,73,75,124,97,44,19,12,62,754,124,37
BANK @ RIVERSIDE S. ,2017,45.38802034,-75.67623737,369304.7159,5027894.545,Northbound,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,0,0,38
KIRKWOOD @ COLDREY,2017,45.38163119,-75.73846511,364438.6959,5027136.54,Northbound,37,51,47,44,46,62,71,71,77,65,10,34,615,77,39
GLADSTONE @ ROCHESTER,2017,45.40529157,-75.70973672,366662.703,5029787.563,Westbound,41,37,41,34,46,63,90,76,55,42,5,25,555,90,40
BAY @ SLATER,2018,45.41687927,-75.70547366,366983.7019,5031078.574,Eastbound,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,0,0,41
BRONSON @ POWELL,2017,45.40243467,-75.70051327,367387.8789,5029477.214,Southbound,72,53,67,84,83,118,116,90,89,99,13,N/A,884,118,42
ELGIN @ SLATER,2018,45.42190879,-75.69381322,367890.7049,5031646.579,Eastbound,28,28,23,16,31,38,33,61,45,31,16,19,369,61,43
KENT @ ARLINGTON,2018,45.40941288,-75.69427205,367868.7071,5030257.566,Northbound,83,80,115,117,131,140,211,183,104,72,35,108,1379,211,44
AVIATION PARKWAY @ MONTREAL,2017,45.44366406,-75.63909822,372146.7151,5034108.594,Eastbound,20,32,34,35,36,33,50,35,72,55,15,20,437,72,45
PRINCE OF WALES @ HOGS BACK / MEADOWLANDS,2017,45.36839102,-75.70119678,367371.9189,5025693.477,Northbound,27,40,29,20,24,38,40,38,43,34,12,14,359,43,46
MURRAY @ SUSSEX,2018,45.4286548,-75.69605817,367707.526,5032394.497,Northbound,45,40,57,52,58,59,41,45,52,48,10,25,532,59,47
FALLOWFIELD @ CEDARVIEW,2017,45.27866592,-75.7799176,361294.6699,5015664.437,Westbound,11,9,15,26,22,18,17,23,13,16,7,16,193,26,48
INNES @ ORLEANS,2017,45.44450342,-75.53280378,380460.7951,5034296.403,Southbound,10,18,18,16,18,20,9,15,11,8,6,6,155,20,49
WALKLEY @ GLENHAVEN / ANAND,2017,45.36973398,-75.66494736,370209.861,5025871.531,Eastbound,47,51,78,45,52,52,51,59,50,59,21,42,607,78,50
ST. JOSEPH @ TENTH LINE ,2018,45.48355406,-75.50105058,382890.809,5038666.453,Eastbound,13,12,18,34,36,59,31,29,82,47,11,25,397,82,51
HERON @ 155m W OF BANK ,2017,45.3784036,-75.66945865,369846.5513,5026831.311,Eastbound,68,73,117,99,108,92,128,103,94,64,17,49,1012,128,52
TENTH LINE @ VANGUARD,2017,45.45833915,-75.48637951,384073.031,5035878.694,Northbound,52,44,45,41,52,57,49,53,68,59,20,53,593,68,53
HAWTHORNE @ LEITRIM ,2017,45.34061302,-75.57823933,377038.7589,5022709.501,Northbound,10,12,2,1,10,8,15,9,12,11,3,9,102,15,54
LYON @ SLATER,2018,45.417535,-75.703944,367102.703,5031152.575,Southbound,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,0,0,55
WALKLEY @ RYDER / DON RIED,2020,45.3822204,-75.63422114,372601.7269,5027284.544,Westbound,65,81,91,167,145,126,159,108,132,99,21,74,1268,167,56
BANK @ HUNT CLUB,2020,45.35363104,-75.64733066,371608.731,5024096.514,Northbound,15,5,19,13,30,20,24,20,16,20,3,9,194,30,57
O'CONNOR ST @ HWY 417 WB ON RAMP / CATHERINE,2020,45.41059366,-75.68946433,368243.711,5030392.564,Southbound,11,10,13,19,24,32,31,23,6,N/A,N/A,N/A,169,32,58
CARLING @ IROQUOIS,2020,45.37182033,-75.76700336,362213.686,5026025.53,Eastbound,21,27,36,16,34,39,43,31,47,54,12,35,395,54,59
KING EDWARD @ BESSERER,2020,45.42809335,-75.68529062,368550.7052,5032340.582,Northbound,132,112,143,115,139,161,164,160,161,166,45,116,1614,166,60
RUSSELL @ ST-LAURENT,2020,45.39990521,-75.62158646,373569.7331,5029260.545,Southbound,68,76,88,77,97,65,36,9,23,79,16,78,712,97,61
MONTREAL @ BRITTANY,2021,45.44266084,-75.64210469,371912.714,5033994.593,Westbound,50,43,30,55,77,66,70,81,65,61,14,39,651,81,62
HUNT CLUB @ DOWNPARTICK /MCCARTY,2021,45.34747262,-75.66147357,370507.726,5023400.509,Eastbound,105,85,134,105,124,127,136,127,157,149,31,85,1365,157,63
HERON @ JEFFERSON,2021,45.38020918,-75.6443775,371808.7279,5027052.536,Westbound,49,38,46,55,60,62,62,59,55,33,10,35,564,62,64
MARCH @ CARP,2021,45.33454599,-76.02328249,342164.5471,5021732.505,Eastbound,10,8,0,3,17,13,14,17,9,18,2,17,128,18,65
JEANNE D'ARC @ CHAMPLAIN,2021,45.48423559,-75.52036864,381379.7381,5038723.597,Eastbound,19,10,18,11,24,30,29,23,28,17,6,20,235,30,66
EAGLESON @ COPE,2021,45.28243692,-75.86494308,354620.626,5016027.438,Southbound,35,38,31,22,39,25,30,31,27,46,6,24,354,46,67
CARLING @ ISLAND PARK,2021,45.38930031,-75.72674059,365348.6989,5027997.548,Westbound,36,38,53,36,59,56,86,72,63,41,13,39,592,86,68
ALBION @ RIDEAU,2022,45.28650966,-75.60392333,375092.7522,5016674.46,Southbound,30,24,32,3,28,23,27,23,N/A,17,11,14,232,32,69
BANK @ RIVERSIDE N,2022,45.38882841,-75.67723452,369225.7159,5027983.546,Northbound,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,0,0,70
HUNT CLUB @ CAHILL,2022,45.35756736,-75.63707326,372407.7347,5024542.509,Westbound,31,29,37,40,37,38,40,37,N/A,18,14,15,336,40,71
CARLING @ MERIVALE,2022,45.38666703,-75.73257414,364894.7038,5027700.544,Westbound,20,18,22,22,51,44,41,43,N/A,45,27,31,364,51,72
CARLING @ 195M W OF IROQUOIS,2022,45.37087356,-75.76881154,362073.0121,5025919.029,Westbound,8,20,38,18,37,40,68,57,N/A,51,21,25,383,68,73
CARLING @ FAIRLAWN,2022,45.37008858,-75.77058769,361934.679,5025830.534,Eastbound,16,26,7,17,23,35,39,38,N/A,38,13,11,263,39,74
CARP @ RICHARDSON SIDE,2022,45.29317806,-75.97205827,346209.5557,5017160.457,Southbound,10,13,12,18,3,1,15,15,N/A,6,3,6,102,18,75
CONROY @ JOHNSTON,2022,45.37336061,-75.62420532,373396.8071,5026308.46,Northbound,24,25,31,14,24,7,0,N/A,N/A,32,12,41,210,41,76
CONROY @ LORRY GREENBERG,2022,45.36947236,-75.62207744,373568.186,5025878.183,Northbound,25,25,27,19,28,17,0,N/A,N/A,58,13,29,241,58,77
SMYTH @ HAIG,2022,45.40034514,-75.63441699,372564.7249,5029298.548,Eastbound,14,21,22,17,27,27,28,29,N/A,23,1,7,216,29,78
CARLING @ HOLLY ACRES,2022,45.34938793,-75.81807293,358234.6563,5023497.518,Eastbound,86,97,83,88,115,117,55,100,N/A,106,26,118,991,118,79
JEANNE D'ARC @ VINEYARDS /FORTUNE,2022,45.47233893,-75.54795751,379238.7286,5037375.598,Northbound,9,20,16,16,17,12,17,9,N/A,N/A,N/A,N/A,116,20,80
TERRY FOX @ 135M S OF HAZELDEAN,2022,45.29260541,-75.89451488,352292.2135,5017139.577,Northbound,45,46,35,60,58,102,99,92,N/A,95,16,35,683,102,81
VANIER PARKWAY @ PRESLAND,2022,45.42262016,-75.6613151,370433.1219,5031751.637,Southbound,68,66,111,125,241,263,227,185,N/A,108,10,47,1451,263,82
ELGIN ST @ SLATER ST,2022,45.42190879,-75.69381322,367890.7049,5031646.579,Southbound,37,22,36,36,37,61,44,50,N/A,50,18,37,428,61,83
WELLINGTON ST @ BAY ST,2022,45.41935066,-75.70759843,366814.7011,5031351.577,Eastbound,205,230,273,226,256,252,201,N/A,N/A,237,59,166,2105,273,84
NAVAN @ RENAUD,2022,45.43032102,-75.51571663,381816.7611,5032736.549,Southbound,1,2,10,7,6,3,8,7,N/A,8,0,2,54,10,85
