Intersection,All_Motorized_Vehicles_AADT_24Hour_Volume,Percent_Trucks,Pedestrians_Not_Factored,Bicycles_Not_Factored,Date_Collected,X,Y,LAT,LONG,FID
MAGLADRY RD @ ROCKDALE RD,1382,0.0545,0,0,1.57423E+12,392333.8259,5030425.497,45.40829165,-75.38174206,53
MALAKOFF RD @ PIERCE RD,992,0.1518,0,0,1.57371E+12,363298.6293,4994908.238,45.09173418,-75.75681149,54
MALAKOFF RD @ POLLOCK RD,732,0.1054,0,0,1.57128E+12,361886.6326,5000178.297,45.13927118,-75.77414761,55
MALCOLM PL @ NORICE ST,987,0.0349,37,26,1.56342E+12,364241.7009,5023043.515,45.34481946,-75.74147268,56
MANOTICK MAIN ST/RIDEAU VALLEY DR E @ CENTURY,5939,0.0276,7,9,1.56334E+12,370042.7107,5008802.39,45.21616462,-75.66932633,57
MANOTICK STATION RD @ MITCH OWENS RD,11592,0.0756,0,0,1.54952E+12,373508.7451,5013268.431,45.25601971,-75.6245848,58
MARCH RD @ DIAMONDVIEW RD,6579,0.0498,0,0,1.55418E+12,340133.5222,5019865.488,45.31785098,-76.04932784,59
MARCH RD @ HUNTMAR DR,7020,0.0488,0,0,1.55418E+12,344141.5702,5023547.503,45.3507699,-75.99791515,60
MARCH VALLEY RD @ RIDDELL DR,2239,0.0381,0,0,1.55478E+12,348201.6073,5027265.542,45.38398613,-75.94577585,61
MARCH VALLEY RD @ TERRY FOX DR,10550,0.0243,175,1,1.55064E+12,350754.5692,5023784.006,45.35249584,-75.9135009,62
MARGUERITE AVE @ MCARTHUR AVE,10849,0.0311,907,38,1.55357E+12,370030.7094,5032670.584,45.43092611,-75.66633502,63
MARINA DR @ RIDEAU VALLEY DR,2577,0.035,3,0,1.57371E+12,372353.7082,5003522.34,45.16843744,-75.6406212,64
MARIONVILLE RD @ YORKS CORNERS RD,786,0.1366,0,0,1.57466E+12,392796.804,5004033.309,45.17078201,-75.38051002,65
MARKETPLACE AVE @ RIOCAN AVE,10551,0.0414,512,2,1.55116E+12,364286.8769,5014761.595,45.27029534,-75.7418903,66
MAXIME ST @ CYRVILLE RD,13203,0.0301,47,1,1.55176E+12,374826.7357,5031173.56,45.41699292,-75.60526067,67
MAY ST @ MCARTHUR AVE,12969,0.0393,283,25,1.55297E+12,371674.7231,5032850.581,45.43239037,-75.64530199,68
"MCARTHUR AVE @ EGLISE, RUE DE L/MOORVALE ST",14087,0.0384,626,34,1.55357E+12,371445.7167,5032824.579,45.43217827,-75.64823202,69
MCARTHUR AVE @ IRWIN MILLER ST,12621,0.0349,519,22,1.55297E+12,371078.716,5032784.575,45.43185322,-75.65292735,70
MCARTHUR AVE @ NORTH RIVER RD,11365,0.0349,994,95,1.55297E+12,369820.7072,5032646.582,45.4307297,-75.66902179,71
MCARTHUR AVE @ OLMSTEAD ST,14578,0.0352,429,50,1.55297E+12,370482.709,5032723.589,45.43136072,-75.6605519,72
MCARTHUR AVE @ VANIER PKWY,53453,0.0203,1269,35,1.55357E+12,370218.705,5032690.586,45.43108852,-75.66392999,73
MCCARTHY RD @ PLANTE DR S,9989,0.0358,49,5,1.57595E+12,370418.7268,5023606.509,45.34933448,-75.66258188,74
MCCARTHY RD @ WALKLEY RD,19723,0.0243,13,2,1.54952E+12,369249.7173,5025300.522,45.36468516,-75.67727821,75
MCCOOEYE LANE @ 35M N OF CARP RD,2991,0.0236,17,19,1.56463E+12,349401.665,5014355.247,45.26774047,-75.93161524,76
MCCOOEYE LANE @ NEIL AVE,266,0.0245,20,7,1.56463E+12,349272.5772,5014563.436,45.26962201,-75.93324155,77
MCCORDICK RD @ MCMULLEN RD,1022,0.0545,0,0,1.57371E+12,369125.679,4993295.233,45.07671437,-75.68299659,78
MCCORDICK RD @ ROGER STEVENS DR,4304,0.0621,0,0,1.55073E+12,364681.6415,4998309.267,45.12222184,-75.73883609,79
MCKENNA CASEY DR @ STRANDHERD DR,29435,0.0591,3,36,1.56161E+12,361911.7982,5013611.344,45.26014218,-75.77228842,80
MCKENNA RD @ ROGER STEVENS DR,2869,0.0571,0,0,1.57371E+12,353311.5316,4988430.293,45.03419686,-75.88430923,81
MCLEOD ST @ QUEEN ELIZABETH DRWY,10455,0.0118,23,4,1.55064E+12,368755.7089,5030930.576,45.4153879,-75.68285407,82
MEADOWBROOK RD @ 170 W OF TELESAT CRT @,6584,0.0224,238,0,1.54761E+12,374854.95,5032172,45.42597352,-75.60475824,83
MEADOWGLEN DR @ WINDFLOWER WAY,2909,0.0439,98,43,1.56584E+12,380200.7465,5034512.572,45.44647644,-75.53609446,84
MEADOWLANDS DR @ VALMARIE AVE,6035,0.0378,75,11,1.57362E+12,366772.7141,5025172.52,45.3637568,-75.70891093,85
MEADOWLANDS DR @ WITHROW AVE,16106,0.0271,28,23,1.57172E+12,363663.6917,5023063.497,45.345048,-75.74884556,86
MER BLEUE RD @ 210 S OF INNES RD,19733,0.0239,80,0,1.54753E+12,382729.7148,5035375.792,45.45396559,-75.50363281,87
MER BLEUE RD @ DECOEUR DR,7586,0.0374,19,10,1.56584E+12,383327.259,5034002.488,45.4415429,-75.49621331,88
MERIVALE RD @ ANNA AVE/LAPERRIERE AVE,16140,0.0232,241,15,1.5477E+12,364859.7062,5027164.542,45.38184719,-75.73308624,89
MERIVALE RD @ BASIL MACDONALD WAY/MERIVALE MAL,39634,0.0268,329,7,1.54753E+12,365097.2825,5023171.237,45.34589567,-75.73054013,90
MERIVALE RD @ BENTLEY AVE/CAMELOT DR,33486,0.0525,115,7,1.54753E+12,365771.9868,5021559.231,45.33133274,-75.72212959,91
MERIVALE RD @ MACFARLANE RD,19941,0.0417,17,1,1.55124E+12,366153.3313,5020632.422,45.3229602,-75.71737977,92
MERIVALE RD @ MORISSET AVE,29315,0.0234,250,32,1.57492E+12,364866.7008,5026492.528,45.37579992,-75.73307869,93
MERIVALE RD @ PINEGLEN CRES,15616,0.0362,31,44,1.57068E+12,366242.7101,5020412.481,45.32097337,-75.71626705,94
MERIVALE RD @ VISCOUNT AVE,3816,0.0262,98,2,1.54753E+12,364941.7027,5027679.542,45.38647402,-75.73197656,95
MERRIMAN AVE @ SANDRIDGE RD,1717,0.1135,26,19,1.57172E+12,370495.7166,5035449.612,45.45588705,-75.66002174,96
METCALFE ST @ NEPEAN ST,11558,0.0353,5712,207,1.56826E+12,367874.7142,5031319.574,45.41896795,-75.6940594,97
METCALFE ST @ NEPEAN ST,11505,0.0377,5395,200,1.56887E+12,367874.7142,5031319.574,45.41896795,-75.6940594,98
METCALFE ST @ NEPEAN ST,13138,0.0283,5626,29,1.55124E+12,367874.7142,5031319.574,45.41896795,-75.6940594,99
METCALFE ST @ NEPEAN ST,10423,0.041,4818,248,1.56705E+12,367874.7142,5031319.574,45.41896795,-75.6940594,100
METCALFE ST @ NEPEAN ST,11366,0.0368,6100,198,1.56766E+12,367874.7142,5031319.574,45.41896795,-75.6940594,101
METCALFE ST @ NEPEAN ST,12378,0.0331,7151,106,1.55677E+12,367874.7142,5031319.574,45.41896795,-75.6940594,102
METCALFE ST @ QUEEN ST,14172,0.1004,12082,117,1.57535E+12,367648.702,5031680.578,45.42223649,-75.69690094,103
CLYDE AVE @ 90M N OF BASSELINE RD (PRIVATE ACCESS),30453,0.0122,337,44,1.56636E+12,364311.882,5024999.511,45.36241332,-75.74034175,104
CLYDE AVE @ DOHENY ST,11400,0.0589,109,4,1.55124E+12,363590.694,5026701.538,45.37778879,-75.74934422,105
CLYDE AVE @ LAPERRIERE AVE,13900,0.0574,128,12,1.55124E+12,363698.6893,5026445.523,45.37547613,-75.74799596,106
COBBLE HILL DR @ HELENE-CAMPBELL RD,7072,0.0227,73,0,1.57613E+12,361112.0585,5015051.083,45.27316157,-75.78231456,107
CODD'S RD @ MIKINAK RD,1503,0.1276,91,7,1.56584E+12,372526.517,5034998.736,45.45163641,-75.63412118,108
COLDREY AVE @ LAPERRIERE AVE,9767,0.0395,53,23,1.57414E+12,364311.7044,5026829.54,45.37887966,-75.74012354,109
COLE AVE @ DOVERCOURT AVE,4206,0.0386,522,172,1.57189E+12,363283.6916,5027281.544,45.38303329,-75.75319507,110
COLOMBINE DRWY @ GOLDENROD DRWY,5356,0.0431,598,38,1.57423E+12,364275.6929,5029970.566,45.40714508,-75.74020468,111
COLONEL BY DR @ COLONEL BY DR SB ON RAMP 43,10396,0.0039,17,4,1.57552E+12,367640.7079,5028440.55,45.39308442,-75.69741606,112
COLONEL BY DR @ ECHO DR S,12990,0.0042,20,6,1.57552E+12,368542.7126,5028771.548,45.39598111,-75.68585431,113
COLONEL BY DR @ HAWTHORNE AVE/PRETORIA BRIDGE,25398,0.0168,1742,590,1.57232E+12,368767.7102,5030525.567,45.41174268,-75.68275331,114
COLONIAL RD @ FRANK KENNY RD,9880,0.0914,0,30,1.55616E+12,390200.8105,5032047.504,45.42314824,-75.40870555,115
COLONIAL RD @ LAFLEUR RD,3491,0.1089,1,1,1.57423E+12,396544.8484,5034686.509,45.44608724,-75.32716297,116
COLONIAL RD @ ROCKDALE RD,5640,0.1462,0,2,1.57423E+12,391419.8214,5032662.503,45.42853144,-75.39302317,117
COLONIAL RD @ SARSFIELD RD,4251,0.1056,31,7,1.57423E+12,395214.84,5034203.512,45.44191516,-75.34425061,118
COMPASS ST @ SHINLEAF CRES/YELLOW BIRCH ST,978,0.041,56,0,1.57544E+12,382206.608,5033417.675,45.4364062,-75.510628,119
CONCORD ST @ GREENFIELD AVE,10649,0.0084,308,188,1.56118E+12,369033.7103,5031064.559,45.41656797,-75.67928502,120
CONCORD ST @ GREENFIELD AVE,11762,0.0165,473,158,1.56144E+12,369033.7103,5031064.559,45.41656797,-75.67928502,121
CONLEY RD @ FRANKTOWN RD,5595,0.0545,0,1,1.5566E+12,353026.5687,5002800.33,45.16352587,-75.88654254,122
CONNERY AVE @ PLEASANT PARK RD,6557,0.0282,18,36,1.57232E+12,373383.7253,5028711.552,45.39498386,-75.62403844,123
CONOVER ST @ CRAIG HENRY DR,5224,0.0468,107,1,1.54753E+12,361896.679,5021625.488,45.33225491,-75.77155833,124
CONROY RD @ DAVIDSON RD N,13054,0.0476,1,0,1.55185E+12,374573.7515,5023515.51,45.34811466,-75.60957504,125
CONROY RD @ DAVIDSON RD S,13451,0.0472,1,1,1.55185E+12,374597.781,5023462.249,45.34763304,-75.60927594,126
CONROY RD @ LORRY GREENBERG DR,22246,0.0369,226,26,1.55539E+12,373568.186,5025878.183,45.36947236,-75.62207744,127
CONROY RD @ QUEENSDALE AVE,12919,0.0468,0,0,1.55305E+12,374351.7398,5024043.511,45.35288744,-75.61233366,128
CONROY RD @ THURSTON DR,27804,0.028,118,83,1.55539E+12,373204.5305,5026795.417,45.37776084,-75.62659243,129
CONSTANCE LAKE RD/MURPHY SIDE RD @ DUNROBIN RD,6272,0.04,5,0,1.55478E+12,344977.6033,5028462.558,45.39494951,-75.98684613,130
CONSUL AVE @ MORRISON DR,3029,0.0422,163,88,1.56705E+12,359867.6668,5022974.498,45.34455548,-75.79729242,131
CONSUL AVE @ MORRISON DR,3094,0.0429,90,9,1.55668E+12,359867.6668,5022974.498,45.34455548,-75.79729242,132
COOPER ST @ BANK ST,10030,0.0624,8966,393,1.56524E+12,367648.7103,5030990.572,45.41602803,-75.69698885,133
COOPER ST @ KENT ST,15989,0.0259,2302,29,1.55176E+12,367482.7046,5030889.562,45.41513407,-75.69912252,134
COPE DR @ TERRY FOX,19678,0.0501,32,28,1.56524E+12,353997.2701,5015345.308,45.27634284,-75.87295605,135
CORKERY RD @ OLD ALMONTE RD,803,0.1327,10,0,1.55478E+12,338906.4858,5013044.469,45.25653264,-76.0654469,136
CORTLEIGH DR @ WOODROFFE AVE,799,0.0348,88,29,1.57068E+12,366628.8634,5014132.764,45.26443515,-75.71212474,137
COURTWOOD CRES E @ WOODWARD DR,11044,0.0372,288,108,1.57232E+12,363552.694,5026118.531,45.37254617,-75.74989873,138
COWELL RD @ MALAKOFF RD,613,0.1845,1,0,1.57371E+12,365462.6501,4992390.225,45.06889418,-75.72962596,139
CRAMER DR @ MCCLELLAN RD W,1478,0.0754,85,1,1.57362E+12,360245.6707,5021265.483,45.32914797,-75.79266064,140
CRESTHAVEN DR @ WATERBRIDGE DR,4116,0.0451,290,0,1.57552E+12,366937.631,5015978.533,45.28101604,-75.70795955,141
CRESTWAY DR @ LEIKIN DR,9900,0.0316,201,1,1.55116E+12,366939.4043,5016514.564,45.28583905,-75.70786982,142
CRICHTON ST @ ELECTRIC ST,5679,0.0315,452,84,1.5731E+12,368940.7022,5033559.6,45.43902595,-75.68014832,143
CROSSFIELD AVE @ WAVELL AVE,251,0.0435,46,2,1.55064E+12,362233.6888,5027248.541,45.38282321,-75.76660576,144
DALMENY RD @ NIXON DR,4753,0.0642,1,0,1.57595E+12,375591.7178,4997713.299,45.11585098,-75.60025669,145
DALMENY RD @ RIVER RD,5312,0.0521,0,0,1.57371E+12,374387.7107,4996968.277,45.10926681,-75.61566099,146
DALY AVE @ KING EDWARD AVE,18094,0.0217,1328,21,1.55176E+12,368591.7076,5032273.586,45.4274868,-75.68477536,147
DANBURY WAY @ PRINCE OF WALES DR,3835,0.0436,0,2,1.57128E+12,366636.658,5000622.29,45.14286649,-75.71370195,148
DANIEL MCCANN ST @ LEBRETON ST,2695,0.0149,183,42,1.56826E+12,367046.715,5029477.566,45.40246825,-75.70487077,149
DATA CENTRE RD @ HERON RD,46321,0.0436,39,22,1.57595E+12,368941.725,5026732.541,45.37759831,-75.68102348,150
DATA CENTRE RD @ RIVERSIDE DR,37512,0.0241,85,49,1.57492E+12,368897.449,5027671.907,45.3860545,-75.68146678,151
DAVIDSON RD @ HAWTHORNE RD,17484,0.1127,0,1,1.55366E+12,376282.7537,5024509.516,45.35688615,-75.58762448,152
DEAKIN ST @ PRINCE OF WALES DR,36400,0.0232,14,55,1.57474E+12,367390.7111,5021523.488,45.33086862,-75.70148469,153
DES EPINETTES AVE @ JEANNE D'ARC BLVD,24656,0.0321,186,3,1.54692E+12,382226.7481,5035958.571,45.45926486,-75.50997074,154
DES EPINETTES AVE @ PRESTWICK DR,8986,0.0318,216,4,1.55116E+12,383334.7613,5036664.57,45.46549313,-75.49569235,155
DES PERES BLANCS AVE @ MARIER AVE,5619,0.0586,180,99,1.57172E+12,370063.7109,5033670.591,45.43992067,-75.66578073,156
DESCHAMPS AVE @ MARIER AVE,3021,0.0461,320,57,1.57172E+12,370370.7133,5033345.589,45.43696772,-75.66190025,157
DEVINE RD @ FRANK KENNY RD,6229,0.0596,0,5,1.57405E+12,393676.8667,5023503.459,45.34584577,-75.36583368,158
DEVINE RD @ FRONTIER RD,3726,0.0748,0,1,1.57405E+12,389637.838,5021965.471,45.33250851,-75.41763035,159
DEVINE RD @ SAND RD,1472,0.0891,0,0,1.57405E+12,392600.8569,5023131.463,45.34263445,-75.37962811,160
DIAMONDVIEW RD @ DONALD B. MUNRO DR,2125,0.0578,0,0,1.55478E+12,338123.5141,5022171.51,45.33869991,-76.07480914,161
DIAMONDVIEW RD @ MCGEE SIDE RD,397,0.1446,0,0,1.55478E+12,342301.5269,5017715.47,45.29839175,-76.021839,162
DILWORTH RD @ FOURTH LINE RD,4673,0.0456,2,0,1.57371E+12,370686.6817,4994689.237,45.08911426,-75.66298916,163
DILWORTH RD @ THIRD LINE RD,696,0.0729,1,0,1.57371E+12,372381.6947,4995779.262,45.09876254,-75.64131148,164
DIVISION ST @ ROCKDALE RD,3076,0.045,11,0,1.57405E+12,394802.8694,5024312.457,45.35298065,-75.3513203,165
DOBSON LANE @ MCBEAN ST,1497,0.1051,32,4,1.5566E+12,358676.6178,5003930.329,45.17328532,-75.81455504,166
DOBSON LANE @ MCBEAN ST,713,0.1264,2,1,1.57128E+12,358676.6178,5003930.329,45.17328532,-75.81455504,167
DOMINION SPRINGS RD @ KINBURN SIDE RD,1626,0.0494,0,0,1.55418E+12,323993.4095,5023446.594,45.35070273,-76.25505025,168
DONALD B. MUNRO DR @ GRANTS SIDE RD,632,0.0492,3,2,1.55435E+12,331273.4914,5025760.577,45.37128807,-76.16201798,169
DONALD B. MUNRO DR/OLD CARP RD W @ MARCH RD,6542,0.0406,0,1,1.55073E+12,343091.5592,5022592.501,45.34223457,-76.01138903,170
DONALD ST @ 110 E OF ST. LAURENT BLVD,16515,0.0254,563,14,1.54701E+12,372203.9134,5032483.825,45.42903966,-75.63858959,171
DONNELLY DR @ HARNETT RD,1688,0.0544,0,0,1.57371E+12,365461.685,4987512.194,45.02500009,-75.73022719,172
DONNELLY DR @ MCCORDICK RD,5029,0.0319,0,0,1.57371E+12,370435.6936,4991830.221,45.06341172,-75.66655139,173
DOVERCOURT AVE @ WINDERMERE AVE,3104,0.0496,282,109,1.57189E+12,362535.6928,5026936.54,45.37999104,-75.76278615,174
DOYLE RD @ SNAKE ISLAND RD,4520,0.0725,1,0,1.57371E+12,375043.716,5004189.364,45.17417663,-75.60631072,175
DOZOIS RD @ GOUGH RD,2129,0.0423,1,0,1.5712E+12,372529.7273,5010156.41,45.22811323,-75.63748082,176
DRAPER AVE N @ MORRISON DR N,4568,0.0395,280,97,1.56342E+12,360371.6803,5023132.503,45.34593746,-75.79084354,177
DRIVEWAY (THE) @ MORNINGSIDE LANE,7939,0.0073,18,53,1.57414E+12,366435.7042,5027867.54,45.38803571,-75.71287613,178
DUMAURIER AVE @ BARWELL AVE/GRENON AVE,2609,0.0691,175,2,1.55185E+12,359729.6724,5023650.503,45.350649,-75.79897813,179
DUMAURIER AVE @ RAMSEY CRES S,2058,0.0796,39,0,1.57362E+12,360122.6718,5023335.513,45.34778382,-75.79399822,180
DUMAURIER AVE @ RICHMOND RD,16771,0.0278,241,17,1.55858E+12,359627.6654,5023735.511,45.35142188,-75.80027043,181
DUMAURIER AVE @ SPLINTER CRES N,1704,0.0673,129,10,1.56705E+12,359770.6748,5023579.496,45.35000686,-75.79846278,182
DUNNING RD @ MAGLADRY RD,1552,0.1447,0,0,1.57423E+12,395069.851,5030852.489,45.41178567,-75.34671775,183
DUNNING RD @ REGIMBALD RD,2340,0.1307,0,2,1.57414E+12,392838.8044,5036511.515,45.46298299,-75.37420378,184
DUNROBIN RD @ KERWIN RD,6852,0.0428,0,0,1.55478E+12,346290.6037,5027174.543,45.3832831,-75.97018531,185
DUNROBIN RD @ KILMAURS SIDE RD,1864,0.0492,0,0,1.55435E+12,335864.5965,5038149.663,45.48258074,-76.10262409,186
DUNROBIN RD @ KINBURN SIDE RD,5636,0.0454,1,2,1.55435E+12,338029.5988,5035929.629,45.46250466,-76.07508044,187
DUNROBIN RD @ VANCES SIDE RD,5626,0.0452,0,0,1.55435E+12,340157.5991,5033679.611,45.44215402,-76.04803146,188
DWYER HILL RD @ DONNELLY DR,1958,0.0435,4,1,1.57371E+12,360066.6822,4982833.223,44.98333706,-75.7991958,189
DWYER HILL RD @ FERNBANK RD,3916,0.0523,1,16,1.55616E+12,342918.5012,5005065.409,45.18452671,-76.01494218,190
DWYER HILL RD @ GOLF CLUB WAY,4366,0.0462,0,7,1.55616E+12,341462.89,5006731.92,45.19960018,-76.03334166,191
DWYER HILL RD @ PURDY RD,1921,0.029,0,0,1.5566E+12,350230.5288,4996574.319,45.10768627,-75.9226728,192
EAGLESON RD @ EMERALD MEADOWS DR,10247,0.0433,15,0,1.55073E+12,354998.6263,5015092.417,45.2739965,-75.86021962,193
EAGLESON RD @ FLEWELLYN RD,12149,0.0452,0,1,1.55073E+12,355333.6235,5014247.425,45.26636907,-75.85603635,194
EAGLESON RD @ HOPE SIDE RD/TERRY FOX DR,22445,0.0493,4,21,1.5604E+12,355188.1529,5014616.005,45.26969607,-75.85785261,195
EAGLESON RD @ RUSHMORE RD,5999,0.0508,0,0,1.5712E+12,356743.6324,5010544.398,45.23294566,-75.83845634,196
EAGLESON RD/MCCORDICK RD @ BROPHY DR,5976,0.0688,0,2,1.5566E+12,359085.6272,5004722.326,45.18038058,-75.80926564,197
EARL ARMSTRONG RD @ FIRE STATION/235 E OF SPRATT RD,20464,0.0277,4,0,1.57673E+12,368594.9306,5015136.796,45.27329376,-75.68694498,198
EARL ARMSTRONG RD @ LIMEBANK RD,21693,0.0403,3,0,1.57665E+12,370155.7209,5015960.451,45.28056154,-75.66694663,199
EARL ARMSTRONG RD @ PARK N RIDE/295 E OF RIVER RD,30098,0.0296,80,1,1.57673E+12,367882.9291,5014698.176,45.26941133,-75.69607413,200
EARL ARMSTRONG RD @ RIVER RD,43396,0.0338,30,0,1.55064E+12,367572.7185,5014684.398,45.26931511,-75.70002879,201
